Post 1  ,4 April at 21:21,"Hello everyone!
Technology Transfer Group is starting a new initiative to connect the research and academia of IIT Kharagpur with the industry and reach out to the students. We bring to you the first edition of the Annual Research Meet. Let's have a look at the team that made it possible.",[None],['blob:https://www.facebook.com/e9bb445c-1b1b-43b3-946d-06336ec95ea5']
Post 2  ,16 March at 11:34,"With reference to the previous post, the Students’ Senate held an emergency meeting on 15th March, in which the recent ongoings were deliberated upon. In light of the lack of any communication from the administration and inefficient planning, the Students’ Senate has passed a resolution concerning the reopening of the campus and the issues faced by the students regarding the same. The same is attached to this post, I request you all to go through the same.  
These are trying times for all of us. The Students’ Senate stands firmly with each and every one of you. We assure you that we shall do whatever it takes to make our collective demands heard. We shall prevail. 
Link to the document: https://docs.google.com/.../141zozVGeSFEm8cc9td62.../edit...
Yo KGP!!
#Senate_In_Solidarity",['https://scontent.fbho5-1.fna.fbcdn.net/v/t1.6435-9/161239810_2913088532268834_3593808226992240907_n.jpg?_nc_cat=110&ccb=1-3&_nc_sid=730e14&_nc_ohc=_0eyKLH7Xz0AX8mtlz2&_nc_ht=scontent.fbho5-1.fna&oh=16f61eca8fa2a8cbd2bc7d4a4827fc72&oe=609B247E'],[]
Post 3  ,1 January,Sharing a visual presentation of the activities and achievements of IIT Kharagpur in the year 2020,[None],['blob:https://www.facebook.com/d77c202e-5026-4ca8-a93e-fb911534dada']
Post 4  ,21 October 2020,"Glad to inform that our novel #COVID19 testing technology, COVIRAP, has been certified by the Indian Council of Medical Research (ICMR). https://kgpchronicle.iitkgp.ac.in/icmr-certifies-iit.../
Affordability which is the signature mark of IIT Kharagpur's healthcare technology research, portability, user-friendliness, and accuracy in diagnosis despite the pace of the process, are the key attributes. 
The novel diagnostic platform has been developed by a team of researchers led by Prof. Suman Chakraborty, Professor, Department of Mechanical Engineering, IIT Kharagpur, and Dr. Arindam Mondal,  Assistant Professor, School of Bio-Science, IIT Kharagpur. 
This innovation has made high-quality and accurate COVID testing affordable for the common people with a testing cost of around ₹ 500/- which can further be reduced through government intervention. As informed by IIT Kharagpur, this machine can be developed at a cost of less than ₹ 10,000/- with minimal infrastructural requirement making the technology affordable to common people. The testing process in this new machine is completed within one hour. Further, this would go on impacting the lives of many in rural India as the device is portable and can be operated on very low energy supply. Minimally trained rural youth can operate this device.
Talking about the technology, Dr. Shanta Dutta, Director of ICMR-NICED said, “While overseeing the testing and validation, I was very impressed with the portable low-cost machine unit that can truly be a game-changer for COVID-19 diagnostics at peripheral laboratories with the support of unskilled human resources as operators. This now needs a rapid commercial scale-up to cater to the needs of the underserved population. ICMR-NICED will be pleased to facilitate support for further improvisations in the method towards even superior performance.”
Elaborating on the validation process of ‘COVIRAP’ Diagnostic Test, Dr. Mamta Chawla Sarkar, an Internationally acclaimed virologist who oversaw the patient trials on behalf of ICMR-National Institute of Cholera and Enteric Diseases (NICED) said, “A detailed scrutiny of the testing results has clearly shown that this assay holds the capability of detecting extremely low levels of viral loads that any other method based on similar principles of testing, even those from the most celebrated research groups across the world, could not come up with so far. In practice, this means that very early stages of infection can be detected, thereby isolating the patient and arresting the uncontrolled spread of infection in the community via asymptomatic patients.” 
While the Institute can produce the testing kit up to a certain scale, patent licensing will facilitate commercialization opportunities for medical technology companies. Any corporate or start-up can approach the Institute for technology licensing and commercial scale of production. The Institute is open to tie-ups, with due measures of protecting the interest of public health amidst the pandemic situation.
The project received financial support from the Institute in late April 2020 through a dedicated fund to support COVID-19 related research and product development as per an initiative by the Ministry of Education, Government. of India following the vision of Dr.Ramesh Pokhriyal Nishank Hon’ble Shiksha Mantri ji. Subsequent financial support to this project was provided by the IIT Foundation, USA, to meet the various expenses in the clinical testing phase. Partial financial support has also been provided from IIT Kharagpur's Common Research and Technology Development Hub on Affordable Healthcare, established by the Department of Scientific and Industrial Research (DSIR), Government of India, under the Ministry of Science and Technology, Govt. of India led by Dr. Harsh Vardhan.
https://kgpchronicle.iitkgp.ac.in/icmr-certifies-iit.../","['https://scontent.fbho5-1.fna.fbcdn.net/v/t1.6435-0/p552x414/122308652_2525465394411210_180596880271133554_n.jpg?_nc_cat=105&ccb=1-3&_nc_sid=730e14&_nc_ohc=3marPUvE1a4AX-H7giH&_nc_ht=scontent.fbho5-1.fna&tp=6&oh=29df1d39b273586faab634889979cade&oe=609C98B4', 'https://scontent.fbho5-1.fna.fbcdn.net/v/t1.6435-0/p403x403/122357142_2525465434411206_6022944743856934731_n.jpg?_nc_cat=106&ccb=1-3&_nc_sid=730e14&_nc_ohc=lRg7m0gJOXMAX-bzQtE&_nc_ht=scontent.fbho5-1.fna&tp=6&oh=2530c5eb91e9c4312f972dd96cd2f52b&oe=609C8D3D', 'https://scontent.fbho5-1.fna.fbcdn.net/v/t1.6435-0/p526x296/122241236_2525465467744536_1022253186493010198_n.jpg?_nc_cat=109&ccb=1-3&_nc_sid=730e14&_nc_ohc=eruU1YXXwKgAX97WEIQ&_nc_ht=scontent.fbho5-1.fna&tp=6&oh=603cab469df1d5dc6599572aee5f1abc&oe=609B10FA', 'https://scontent.fbho5-1.fna.fbcdn.net/v/t1.6435-0/p552x414/122307603_2525465504411199_3253034471489002508_n.jpg?_nc_cat=107&ccb=1-3&_nc_sid=730e14&_nc_ohc=plPBpe0OtMEAX_lTW27&_nc_ht=scontent.fbho5-1.fna&tp=6&oh=061f6c1951ebae83f7a2f03de03bc27a&oe=609A93C6', 'https://scontent.fbho5-1.fna.fbcdn.net/v/t1.6435-9/122073851_2525465547744528_2567579075802571371_n.jpg?_nc_cat=103&ccb=1-3&_nc_sid=730e14&_nc_ohc=U5ZF27DgZUEAX9UfbQy&_nc_ht=scontent.fbho5-1.fna&oh=f488abfaa3ef702272382111e76a60d0&oe=609C7C97']",[]
Post 5  ,24 September 2020,A Kgpian needs help! Please come forward and donate! A small help can save someone life!,[],[]
Post 6  ,31 August 2020,"For
F. R. I. E. N. D. S. 
""I cried that night. I cried alot. After they left, i walked less than 100 steps to our building. Almost went to their apartment, only to realise i don't have the key anymore. Came back to mine. It was empty. Well, not really empty. I had chick jr and duck jr with me. The fooseball table is gone. The worst, i switched on the tv and there was free porn, again. I looked on my left to high five Chandler, but he was gone. I went to his room, i kind of missed him. He left me money. I always knew he had me covered. Whatever happened, he was there. He is my best friend. He made me laugh when i was low. He made us all laugh, actually. I miss him when i am laughing. The day he decided to move in with Monica, I wanted to stop him. He could have just stayed here, with her. Or whatever. But i am happy for him. He is a dad now. Who could have imagined, him being a dad. But I am sure Monica is going to be there. She is going to make him learn how to be a good father. She has fed me for more than 10 years. Her apartment was home to me. Mine was just another place to sleep. She is the best chef I have ever met. I am going to miss her turkey. She used to make the best turkey. She left me lasagna. Oh boy! And when she broke that fooseball table wide open, I was scared. She is one strong woman. I loved Jack and Erica. They are so cute. Erica smiled at me when I asked, ""how you doin'?"" I am so happy for them. But Ross, he was the happiest. I have never seen him happier. Rachel got off the plane. And he felt like he found some dinosaur from some years ago. Ross, told me that he'll take Monica's apartment. I thought there will be friends next door. But I don't know how long is that going to be. Rachel, I am proud of her, you know. She made it big. Are you serious? She got Ralph Lauren shirts, no one knows about them. I fell in love with her, and trust me I could not have been more scared. There was Ross. And then, she was pregnant. It is all I'm the past. Gone. And I am going to give away Hugsy. To Emma. She will love it. Ben and I still talk about the time we left him on a bus. He still laughs at it. I miss seeing him. Phoebe, you know, it was one of the happiest moments of my life, when I gave Phoebe away at the wedding. Mike seems like a solid guy. We have had our talk. He'd never hurt Phoebe. She was the most honest one. Loved her French lessons, still curses me for not learning any French. Or for that matter, guitar.
A lot has changed since that night. We to Monica's and Chandler's, every weekend. I sleep there, sometimes. We still play poker. Phoebe still gives an odd joker away because she thinks he's sad. Monica and Chandler are proud parents. Ross and Rachel are still deciding on when to get married. And me, I am still auditioning. After all, I was Dr. Drake Ramoray on DOOLS.""
-Joseph Francis Tribbiani",[],[]
Post 7  ,19 August 2020,"Registration Link: https://forms.gle/LsnEae73k2nmCM3d8
""Research is to see what everybody else has seen, and to think what nobody else has thought"" - Albert Szent-Gyorgyi
Hello Sophomores, Technology Transfer Group brings to you an opportunity to contribute to Kharagpur's rich heritage and be a part of a group which conducts events like TEDx and bridge the gap between academia and industries.
Click on the link, fill the form and choose your preferred timing for the next round!",['https://scontent.fbho5-1.fna.fbcdn.net/v/t1.6435-9/p843x403/117654984_3222103324550107_1099905118467320055_n.jpg?_nc_cat=104&ccb=1-3&_nc_sid=730e14&_nc_ohc=ssYhHsovwYwAX_IxTBK&_nc_ht=scontent.fbho5-1.fna&tp=6&oh=d31ef026c479c732ccb8fde3d414b956&oe=609D7B0C'],[]
Post 8  ,18 August 2020,"IIT KGP has been a pioneer in research and development since its inception! Today, as we celebrate the 70th Foundation Day of IIT Kharagpur, lets take a moment to be proud of being a part of such an amazing institution which has produced several stalwarts like Sundar Pichai, Arvind Kejriwal, Vinod Gupta and Arjun Malhotra
Happy Foundation Day!",['https://scontent.fbho5-1.fna.fbcdn.net/v/t1.6435-9/p843x403/118003416_3218302461596860_4364246903188037383_n.jpg?_nc_cat=104&ccb=1-3&_nc_sid=730e14&_nc_ohc=cP8ylPHkNpoAX_5jqzT&_nc_ht=scontent.fbho5-1.fna&tp=6&oh=27775ad037e9406aa0e9e74ece28bf57&oe=609BF6B2'],[]
Post 9  ,18 August 2020,"TEDxIITKharagpur brings to you a glimpse of the rich heritage and knowledge shared through its esteemed stage. Despite COVID-19 disrupting our lives, gaining knowledge can never be stopped. Stay tuned for more updates!",[None],['blob:https://www.facebook.com/5bd6122b-466b-4699-a2db-6b21008e52a6']
Post 10  ,2 August 2020,"“The pain of parting is nothing to the joy of meeting again”- Charles Dickens
Greetings!! It is that time of the year again when we have to sadly bid farewell to our graduating seniors. It’s an honour for Technology Transfer Group to have such distinguished members amongst its midst. Their wisdom, strong sense of leadership and friendly attitude has helped TTG gain new heights. We wish them all the best in their future endeavours!
Congratulations to Sharayu Dhoke, Prakhar Verma, Gaurav Kumar, Gaurav Agarwal, Arka Mitra, Tarun Kumar, Pourush Sood, Parbhat Jotian, Praneesh Pal and Hitendri Bomble.
Design credits - Abhra Saha",['https://scontent.fbho5-1.fna.fbcdn.net/v/t1.6435-9/p960x960/116420318_3171439392949834_5421456906898117971_n.jpg?_nc_cat=109&ccb=1-3&_nc_sid=730e14&_nc_ohc=oKCq0yTu1L8AX-9w25u&_nc_ht=scontent.fbho5-1.fna&tp=6&oh=bd885816bf2268e70359dc48e380baf8&oe=609C1641'],[]
Post 11  ,27 July 2020,,['https://scontent.fbho5-1.fna.fbcdn.net/v/t1.6435-9/s960x960/113631697_3148206181939822_6532805798896526946_n.jpg?_nc_cat=100&ccb=1-3&_nc_sid=8bfeb9&_nc_ohc=ejRohugaZJ8AX-Mxnyh&_nc_ht=scontent.fbho5-1.fna&tp=7&oh=1743c6b3ee81265484a07d55ad442403&oe=609BA3CB'],[]
